"","revenue_source","occurance"
"1","100% State",46
"2","7A Administrator",148
"3","911 Grant",169
"4","A.p.sloan Foundation-Urban Emrgncy Mngmt",40
"5","ACA - State Innovation Models",8
"6","ACA-Transforming Clinical Practice Initiative: Practice Tran",18
"7","Academic Improvement",839
"8","ADM Federal Alcholism",52
"9","Administration",166
"10","Adoption",1423
"11","Adoption Assistance",1075
"12","Adoption Assistance -  Administration",1058
"13","Adult Shelter Cap",627
"14","Aging Title IV & II Descretionary PGM",137
"15","Aging Title IV Program",13
"16","Aid To Crime Labs",205
"17","Aid To Detention",3
"18","Aid To Law Enforcement",153
"19","Aid To Prosecution",1133
"20","AIDS HIV Surveillance",1734
"21","AIDS Prevention Surveillance",3029
"22","AIDS/HIV Rsch In African American Msm",218
"23","Alcoholism-Voluntary Contracts",32
"24","All Angels T A 8807",6
"25","Alternative Enforcement: Fees",5148
"26","Alternative Enforcement: Repairs",4846
"27","Alternatives To Incarceration",1006
"28","American Cancer Society",530
"29","Americorps Project",32
"30","Annie Casey Foundation",4
"31","Anti-Auto Theft Program-Bronx",17
"32","ARRA - Communties Putting Prevention To Work",15
"33","ARRA - Headstart",6
"34","ARRA - Immunization",279
"35","ARRA - Renewable Energy",28
"36","ARRA - State Energy Program",48
"37","ARRA - Stregthening Communities Fund",1
"38","ARRA - Strengthening Communities Fund",11
"39","ARRA - Trans-Nih Research Support",18
"40","ARRA -Neighborhood Stabilization Program",159
"41","ARRA - Child Care And Development Block Grant",9
"42","ARRA - Temporary Assistance for Needy Families Emergency Contingency",238
"43","ARRA - Race To The Top Incentive",279
"44","ARRA - School Improvement Grants",533
"45","ARRA - Tax Credit Assistance Program",6
"46","ARRA - Teacher Incentive Fund",26
"47","ARRA - Broadband Technology Opportunities",173
"48","ARRA - Education Jobs",20
"49","ARRA - Education Technology",328
"50","ARRA - Homeless Prevent & Rapid Re Housing",75
"51","ARRA - Port Security",88
"52","ARRA - Rail & Transit Security",42
"53","ARRA - Special Education For Infants And Families",634
"54","ARRA - Special Education Preschool",34
"55","ARRA - State Fiscal Stabilization Fund (I3)",610
"56","Arrest Policies&Enforcement Protection",494
"57","Arterial Highway Reimbursement",130
"58","Arterial Maintenance",569
"59","Asset Forfeiture-Private",302
"60","Assissted Outpatient Treatment Program",182
"61","Assistance To Firefighters Grant",59
"62","Avenue NYC",37
"63","Acquired Immunodeficiency Syndrome (Aids) Activity",191
"64","Activities To Support State, Tribal, Local And Territorial (",21
"65","Adult Viral Hepatitis Prevention And Control",351
"66","ACA - Epidemiology",787
"67","ACA - HIV",145
"68","ACA - Maternal",99
"69","Allergy, Immunology And Transplantation Research",295
"70","Alternatives Analysis",59
"71","Americorps Senior Demonstration Program",19
"72","Asset Forfeitures",506
"73","Assets For Independence Demonstration",3
"74","Assistance Programs For Chronic Disease Prevention And Ctrl",6
"75","Asylum Support",12
"76","Auxiliary Vehicles",18
"77","Bail Fees For Altern To Incar",172
"78","Barrier Free Justice Program",134
"79","Battery Park City Pep",192
"80","Beach Monitoring And Notification",235
"81","Bioterrorism Hospital Preparedness PGM",160
"82","Bronx Mental Health Court Diversion Svcs",217
"83","Bronx River",114
"84","Brownfield Assessment & Cleanup Coop PGM",482
"85","Buckle Up New York Program",119
"86","Buffer Zone Protection Plan (Bzpp)",57
"87","Build America Bonds Reimbursement",1071
"88","Building Aid",388
"89","Building Aid For Leases",396
"90","Bulletproof Vest Program",136
"91","Byrne Formula Grant Program - Drug Law E",53
"92","Byrne Formula Grant Program - DTAP",48
"93","Byrne Formula Grant Program - Narcotics",25
"94","Byrne Formula Grant Program - Prosecutio",68
"95","Byrne State & Local Law Enforcemnt Assis",21
"96","Birth Defects And Developmental Disabilities - Prevention",119
"97","Buses And Bus Facilities Programs",24
"98","Byrne Criminal Justice Innovation Program",18
"99","Case Management Services Phcp",537
"100","CBO Facilitated Enrollment",141
"101","CD Dismissal Request",194
"102","CD Multiple Dwelling & Copy Fees",196
"103","CDBG-Disaster Recovery",16132
"104","CDBG-Disaster Recovery Ny Rising",47
"105","CDC Collaboration With Academia To Strengthen Public Health",1
"106","CDC Investigation & Technical Assistance",1042
"107","Chapter 620 Mental Retardation",262
"108","Chapter 721 Reimbursement    C",192
"109","Child And Adult Care Food Program",1078
"110","Child Care & Devel.block Grant",3306
"111","Child Care Fraud Prevention",6
"112","Child Nutrition Discretionary",3
"113","Child Passenger Safety Program",26
"114","Child Support Administration",4540
"115","Child/Teen Health Plan",323
"116","Childhood Injury Prevention",26
"117","Childhood Lead Screening Prev",162
"118","Children And Family Emergency Services",218
"119","Children Family Community Sup",223
"120","Children Family Support State",220
"121","Citizen Corps",36
"122","Clinical Screening Program",22
"123","Cme-Local Assistance",22
"124","College Discovery Program",82
"125","College Work Study Private Fnd",223
"126","Combat Aggressive Driving Program",148
"127","Community & Law Enfor. Resource Together",75
"128","Community College Child Care",138
"129","Community College Rents",51
"130","Community Development Block Grant",525
"131","Community Development Block Grants",2756
"132","Community Economic Adjustment Assistance",9
"133","Community Learning Centers",4180
"134","Community M Health Reinvest",384
"135","Community Management Program",17
"136","Community Oriented Policing Sv",275
"137","Community Service Block Grant",437
"138","ARRA - Community Service Block Grant",17
"139","Community Services For Aging",200
"140","Community Support System",244
"141","Comprehensive Tobacco Control",12
"142","Computer Information Technology",659
"143","Congestion Mitigation Air",20
"144","Congregate Services Initiative",97
"145","Consolidated Hiway Improvement",364
"146","Construction Authority",506
"147","Construction Industry Strike",12
"148","Cooperative Forestry Assistance",732
"149","Coordinated Children Serv St",189
"150","Cops Universal Hiring",41
"151","Corp. Public Broadcasting",8
"152","Court Interest Reimbursement",401
"153","Court Operation + Maintenance",591
"154","Cpd's Transformation Initiative Technical Assistance",20
"155","Crime Victim Assistance/Discretionary Gr",156
"156","Crime Victims Compensation Bd.",1010
"157","Crime Victims Program",419
"158","Crimes Against Revenues",950
"159","Criminal Justice Coord. Grant",173
"160","Criminal&Juvenile Justice &Mental Health",181
"161","Csels Partnership: Strengthening Public Health Laboratories",80
"162","CUNY Boe Partnership",24
"163","Capacity Building Assistance",175
"164","Capacity Building Assistance (Cba) For High-Impact HIV Preve",242
"165","Centers For Homeland Security",9
"166","Charter Schools",124
"167","Child Lead Poisoning Prevention Surveillance Financed In Par",294
"168","Children Of Incarcerated Parents",30
"169","Citystore Sales",4
"170","Civil Penalties",343
"171","Climate Pollution Reduction Grants",9
"172","Coastal Zone Management Administration Awards",18
"173","Comm Development Block Entitlement -Arra",87
"174","Communications Improvement",118
"175","Community Programs To Improve Minority Health Grant Program",111
"176","Community-Based Violence Prevention Program",28
"177","Comprehensive Opioid Abuse Site-Based Program",98
"178","Congressionally Identified Awards And Projects",3
"179","Congressionally Mandated Projects",15
"180","Congressionally Recommended",21
"181","Conservation Research And Development",9
"182","Continuum Of Care - Shelter Plus Care",17078
"183","Continuum Of Care Program",679
"184","Cooperating Technical Partners",54
"185","Coronavirus Aid, Relief And Economic Security Act",179
"186","Coronavirus Emergency Supplemental Funding Program",180
"187","Coronavirus Relief Fund",326
"188","Coronavirus State And Local Fiscal Recovery Funds",312
"189","Crime Victim Assistance",351
"190","Criminal Justice Services",7
"191","Cultural Resources Management",9
"192","Cultural, Technical & Educational Centers",146
"193","Data Processing Program",788
"194","Day Care Inspections",571
"195","Day Care Reimbursement",2
"196","Day Care Services",244
"197","Deaf And Blind Reimbursement",169
"198","Debt Service Reimbursement",30
"199","Dedicated Tax",276
"200","Dept. Of Education Retirement System",186
"201","DJJ Post Detention Responsibility",51
"202","DNA Program",25
"203","Domestic Preparedness Equipment Support",1398
"204","Domestic Violence State",158
"205","Dreier Offerman Park Salt Marsh",17
"206","Drug Abuse And Addiction Research",115
"207","Drug Treatment Alter To Prison",155
"208","Drug Treatment Court",11
"209","Drug Treatment Program",116
"210","Dry/Sub-Adoption 505",3
"211","Defense Nuclear Nonproliferation Research",41
"212","Diabetes, Digestive, And Kidney Diseases Extramural Research",249
"213","Direct Care Workers Program",9
"214","Domestic Ebola Supplement To The Epidermiology And Laborator",194
"215","Drug Abuse And Addiction Research Programs",447
"216","E H A Part-B",1114
"217","Early Intervention Insurance",2729
"218","Early Intervention Respite",603
"219","Early Intervention Services",2304
"220","East River Esplanade",3
"221","ECIA Title I",3088
"222","EDC Community Development Revenue",48
"223","EDC Miscellaneous Revenue",11
"224","EDC Urban Renewal Land Sales",3
"225","Education Development Center",8
"226","Education For Homeless Children & Youth",406
"227","Education For Homeless Children - ARRA",12
"228","Education Grants",793
"229","Education Related Support Svcs",9
"230","Education Stabilization Fund",21
"231","Education Technology Incentive",20
"232","Education Technology State Grants",214
"233","Edwardd Byrne Memorial Competitive",85
"234","Election Funding",73
"235","Emerg. Relocate Welfare Tenant",16
"236","Emerg.relocation Welfare Ten.",15
"237","Emergency  Management Performance Grants",38
"238","Emergency Assist For Adult",1592
"239","Emergency Connectivity Fund Program",28
"240","Emergency Demolition Program",1543
"241","Emergency Demolition Program II",145
"242","Emergency Income Maintance ADM",292
"243","Emergency Management Performance Grants",233
"244","Emergency Med Tech Training",399
"245","Emergency Medical Services PGM",2068
"246","Emergency Repair",23845
"247","Emergency Repair Program II",3578
"248","Emergency Shelter Grants Program",614
"249","Empl Benefits Secur Admin (Cobra) ARRA",19
"250","Employment Prep. Educ.",123
"251","Emrgncy Food & Shelter Natnl Bd Program",91
"252","Energy Efficiency And Renewable Energy",16
"253","Energy Efficiency Conservation Block",86
"254","Enforcement Of Navigation Laws",60
"255","Enforcement Overtime Drug",5656
"256","Enhanced Drinking Water Protection",511
"257","Environmental Conservation",433
"258","Envoirmental Public Health & Emergency",498
"259","Equal Employ Opport Comm Grant",194
"260","ESEA Title II Improving Teacher Quality",2243
"261","ESEA Title III",18
"262","Even Start State Educational Agencies",58
"263","Expanded In-Homes Services",226
"264","Early Retiree Reinsurance Program",22
"265","Ebola Preparedness And Response",13
"266","Economic Adjustment Assistance",14
"267","Economic Development Initiative",29
"268","Economic High-Tech & Cyber Crime Prevention",87
"269","Education Stabilization Fund",375
"270","Education, Training, Enhanced Services To End Violence",27
"271","Edward Byrne Memorial Competitive Grant Program",33
"272","Elder Abuse Prevention Intervention Projects",100
"273","Electricity Delivery And Energy Reliability, Research",87
"274","Emergency Housing Vouchers",18
"275","Emergency Medical Services For Children",54
"276","Emergency Planning For Juvenile Justice Facilities",3
"277","Emergency Rental Assistance Program",57
"278","Empowering Older Adults & Adults With Disabilities Through C",3
"279","Ending The HIV Epidemic: A Plan For America - Ryan White HIV",201
"280","Enhance Safety Of Children Affected By Substance Abuse",15
"281","Enhanced Mobility Of Seniors And Individuals With Disabiliti",426
"282","Environmental Quality Incentives Program",6
"283","Epidemiology And Laboratory Capacity For Infectious Diseases",2524
"284","Equipment Sales",4
"285","Equitable Sharing Program",728
"286","Every Student Succeeds Act/Preschool Development Grants",14
"287","Eviction Prevention",128
"288","Evidence-Based Falls Prevention Programs Financed Solely By",47
"289","Fair Housing Initiatives Program",11
"290","Family + Children Services",15
"291","Family Court Pre- Kindergarden",393
"292","Family Court Pre-Kindergarten",211
"293","Family Violence Intervention Project",42
"294","Federal Asset Forfeiture",118
"295","Federal Cash Adjustments",67
"296","Federal CSS",361
"297","Federal Highway Emergency Relief",511
"298","Federal Transit Formula Grants",921
"299","Federal Transit Metropolitan Planning Gt",45
"300","Federal Transit-Capital Investment",816
"301","Federal Urban Renewal Land Sales",103
"302","Federal Urban Renewal Leases And Rents",1193
"303","FEMA Disaster Grants - Public Assistance",111
"304","FEMA Direct Administrative Cost",99
"305","FEMA PA Covid-19 Emergency Protective Measures",411
"306","FEMA Reimbursement",663
"307","FEMA Sandy A Debris Removal",330
"308","FEMA Sandy B Emergency Protective Measures",958
"309","FEMA Sandy C Roads And Bridges",77
"310","FEMA Sandy D Water Control Facilities",2
"311","FEMA Sandy E Buildings And Equipment",930
"312","FEMA Sandy F Utilities",200
"313","FEMA Sandy G Parks, Recreational Facilities, And Other Items",144
"314","Supplemental Nutrition Assistance Program",2039
"315","Supplemental Nutrition Assistance Program",2479
"316","Food Stamp Outreach",3
"317","Supplemental Nutrition Assistance Program",1229
"318","Ford Warranty Program",273
"319","Forensic DNA Capacity Enhancement",92
"320","Forfeiture Law Enforcement",923
"321","Foster Care Block Grant",5047
"322","Foster Care Title IV-E",12321
"323","Foster Care Title IV-E Preventive Svcs",668
"324","Foster Grandparent Grant",186
"325","Foster Grandparents PGM State",58
"326","Foundation Aid",2585
"327","Free & Reduced Price Lunch",1027
"328","Family Connection Grants",40
"329","Family Self-Sufficiency Program",184
"330","Federal Transit Grants",80
"331","Fire Service Hazardous Materials Preparedness And Response",10
"332","Flood Mitigation Assistance",3
"333","Food Insecurity Nutrition Incentive Grants Program",83
"334","Forensic DNA Backlog Reduction Program",560
"335","Forensics Training And Technical Assistance Program",15
"336","Fully-Integrated Dual Advantage Program (Fida)",38
"337","Gang Resistance Education Trai",24
"338","Gasoline Inspections",173
"339","Gerritsen Creek Maritime Ecosystem Resto",13
"340","Girls Reentry Assistance Support PGM",6
"341","Gmc-Chevrolet Impala",329
"342","Government Services Stabilization Fund",27
"343","Grants To Encourage Arrest Policies",36
"344","Guide Dogs",337
"345","Guide-A-Ride Program",3184
"346","Gun Interdiction Program",71
"347","Guardianship Assistance",801
"348","Handicap.pupil-Summer School",604
"349","Hardware Aid",51
"350","HAVA Election Security Grants",3
"351","Hazard Mitigation Grant",23
"352","Head Start Grant",323
"353","Health Benefits Reimbursement",83
"354","Health Insurance Assistance Pm",173
"355","Health Research",5645
"356","Health Research Inc.",1543
"357","Healthy Start Initiative",353
"358","HHC - Reimbursement",94
"359","HHC Receivable",2
"360","HHS Programs For Disaster Relief Appropriations Act - Non Co",155
"361","Hidta Rental Program",6
"362","High Cost Excess Cost Aid",305
"363","Highway Emergency Local Patrol",223
"364","Highway Planning And Construction",5463
"365","Highway Safety",486
"366","HIV Demo, Research, And Education Projects",49
"367","HIV Education & Prevention",669
"368","HIV Partner Notification",581
"369","HIV Prevention Activities Non-Governmental Organization Base",509
"370","Holding Acct Unalloc Fed Recpt",8
"371","Holding Acct Unalloc Ste Recpt",4
"372","Home Investment Partnership",1030
"373","Home Relief Aid",159
"374","Homeland Security Advanced Research Prj",74
"375","Homeland Security Biowatch PGM",244
"376","Homeland Security Grant PGM - Mmrs",60
"377","Housing Authority Police Grant",476
"378","Housing Development Action Gnt",2
"379","Housing Litigation Division",2929
"380","Housing Opportunities For People With Ai",1836
"381","Hpd Federal CD Miscellaneous Revenue",8
"382","HRSA Covid-19 Reimbursement",16
"383","Hud Clearance Test Reimbursement",11
"384","Hudson River Park-Pep",442
"385","Hudson Yards",173
"386","Habitat Conservation",1
"387","Harold Rogers Prescription Drug Monitoring Program",54
"388","Health Care Innovation Awards (Hcia)",288
"389","Health Care And Mental Hygiene Worker",37
"390","Health Information Technology Regional Extension Centers",3
"391","Healthy Brain Initiative",15
"392","Heat & Hot Water Violations",5179
"393","Heat And Hot Water Fees",4531
"394","Help America Vote Act",74
"395","High Intensity Drug Trafficking Areas Program",11
"396","Highway Research & Development",171
"397","Homeland Security, Research, Testing, Evaluation, And Demo",3
"398","Homeless Prevention Assistance",54
"399","Hospital Preparedness Program (Hpp) Ebola Preparedness And R",78
"400","Hospital Preparedness Program (Hpp) And Public Health Emerge",2339
"401","Hurricane Sandy Disaster Relief - Coastal Resiliency Grants",216
"402","Hurricane Sandy Disaster Relief Appropriations Act Supplemen",89
"403","Hurricane Sandy Program",6
"404","Immigration Related Employmnet Discrimin",17
"405","Immunization Program",1934
"406","Impact Aid",215
"407","Independent Living",505
"408","Indigent Legal Services Fund",248
"409","Injury Prevention Program",345
"410","Intens Supervision Prog",59
"411","Intensive Case Management",260
