"","revenue_source","occurance"
"412","Interest Exchange Agreement",1421
"413","Intermodal Surface Transport",1724
"414","Interoperable Communication Equipment",70
"415","Inventory Planning Project",34
"416","Immigrant Affairs",53
"417","Inspection Fees (Non-Hhw)",114
"418","Investing In Innovation (I3) Fund",89
"419","Jd-Pins Remands",272
"420","Job Access Reverse Commute",145
"421","Justice Assistance Grant Funds",2485
"422","Juvenile Accounability Incentive",260
"423","Juvenile Intensive Supervision",177
"424","Juvenile Justice And Delinquency Program",36
"425","Juvenile Offenders Detention",881
"426","Justice Reinvestment Initiative",20
"427","Justice Systems Response To Families",13
"428","Keeping Families Together In NYC",60
"429","Kings County Juvenile Offender",58
"430","Laboratory Surveillance",191
"431","Law Enforcement Terrorism Prevention PGM",378
"432","Lead Based Paint Abatement",23
"433","Lead Hazard Reduction Demonstration Gt",924
"434","Lead Poison Control Grant",338
"435","Library Materials",47
"436","Local Government Records Mgmt",1109
"437","Local Law Enforcement Block Grants Progr",588
"438","Long Term Care Ombudsman",41
"439","Low-Income Home Energy Assistance",791
"440","Lower Income Housing Assistance Program",718
"441","Long Island Sound Program",113
"442","Long Term Care & Support For Elderlies",9
"443","Long Term Care & Support For The Elderly",18
"444","Magnet School Money-Federal  F",1511
"445","Mammography Quality Standards",541
"446","Management Welfare Fund",67
"447","Manhattan Bridge",278
"448","Mass Transit Oper.asst Grant",98
"449","Mathematics And Science Partnership",316
"450","Mckinney Homeless Block Grant",201
"451","Medicaid-Health & Medical Care",8117
"452","Medicaid Administration",8159
"453","Medicaid",16539
"454","Medicaid",236
"455","Medical Rehabilitation Program",282
"456","Medicare Enrollment",91
"457","Medicare Health Clinics",329
"458","Medication Grant Program",172
"459","Medicd Mgt Info Sys Bradfd Cor",365
"460","Mental H Alt To Incarceration",205
"461","Mentally Ill Chemical Abusers",190
"462","Metropolitan Medical Response System",19
"463","Mh Clinical Infrastructure",276
"464","Migratory Bird Monitoring & Assessment",10
"465","Missing Children's Assistance Program",231
"466","Morningside Park Ta 8800",27
"467","Motor Vehicle Theft Insu Fraud",1424
"468","Multi-Modal Program",92
"469","Multifamily Property Disposition",15
"470","Municipal Archives Reference",43
"471","Municipal Labor Comm.reimburse",163
"472","Mainstream Vouchers",80
"473","Marine Debris Program",15
"474","Maternal, Infant, And Early Childhood Home Visiting Program",44
"475","Mental Health Disaster Assistance And Emergency Mental Healt",36
"476","Mental Health Research Grants",1362
"477","Minority Health And Health Disparities Research",55
"478","Missing Alzheimer's Disease Patient Assistance Program",12
"479","NYS Local Waterfront Revital",625
"480","Narcotics Control",31
"481","Nat Inst Justice Research Eval Dev Proj",189
"482","National Endowment For The Arts",63
"483","National Environ Public Health Tracking",557
"484","National Institute Of Justice Research",1399
"485","Natural Heritage Trust #1",122
"486","Neighborhood Housing Services",132
"487","Neighborhood Stabilization Program",68
"488","New Freedom Program",469
"489","New Hope Project",18
"490","New York New York Path",189
"491","NOAA Programs For Disaster Relief Appropriations Act - Non-C",5
"492","Non Resident Pupil Tuition",349
"493","Non-Aca/Pphf--Building Capacity Of The Public Health System",44
"494","Non-Governmental Grants",10501
"495","Non-Secure Detention Services",237
"496","Northern Border Pro",94
"497","Nutrition Program For The Elderly",16
"498","NYC Ambient Surface Water Proj",3
"499","NYC Brac Security Program",7
"500","NYC Build It Back Home Repair Program",1756
"501","NYC Housing & Urban Development",216
"502","NYC Housing Authority",105
"503","NYC Housing Trust Fund - BPCA",139
"504","NYC Veterans Service Agency",98
"505","NYS Broadband Program",6
"506","NYS Conservation Fund",24
"507","NYS Dec Recycling Grant",57
"508","NYS Dormitory Authority Grant",333
"509","NYS Department Of State",9
"510","NYS Energy Conservation Program",494
"511","NYS Urban Development Corporation",3
"512","Nys- NYC Initiative",364
"513","NYS-NYC Lead Poisoning",383
"514","Nat Center For Preserv Tech And Training",20
"515","National Clean Diesel Emission Reduction",36
"516","National Disaster Resilience Competition",36
"517","National Historical Publications And Records Grants",8
"518","National Incident Management  System",18
"519","National Infrastructure Investments",43
"520","National Infrastructure Investments - Tiger II",45
"521","National Institute Of Environmental Health Sciences",52
"522","National Resource Stewardship",15
"523","National Sexual Assault Kit Initiative",72
"524","Neighborhood Stabilization Program",7
"525","Non-Sefa Federal Contracts-Health",1365
"526","Nursing Research",7
"527","Nutrition Services Incentive Program",283
"528","Occupational Education Aid",817
"529","Occupational Safety And Health Program",2301
"530","OCME DNA Lab",485
"531","OCME Toxicology Lab",156
"532","Officer Induction Training Sch",167
"533","OMLR Deferred Compensation",122
"534","Operation Restore Trust Grant",30
"535","Other Cat Cash  Adjustments",3
"536","Other State Actions",312
"537","Outpatient State Aid",202
"538","Occupational Safety And Health Program",163
"539","Office Of Scientific And Technical Information",3
"540","P.S. Aid - Transport/Net Support",103
"541","P.S. Aid - Textbooks",97
"542","P.S. Aid - Special Reading",336
"543","Parks Recreation And Conservation",3809
"544","Partial Reimb. D.a.'S Salary",435
"545","Participation  Loan",219
"546","Paul Coverdell Forensic Sciences Improve",66
"547","Peer Support State Aid",157
"548","Points Of Entry Program",18
"549","Pollution Remediation-Water & Sewer",14
"550","Pollution Remidiation-Bond Sales",361
"551","Port Security",1787
"552","PPHF 2012 - Prevention And Public Health Fund",207
"553","PPHF 2012: Community Transfromation Grants And National Diss",52
"554","Pralls Island Colonial Waterbird Nesting",15
"555","Pre-Disaster Mitigation",18
"556","Pre-Kindergarten Admin Cost",131
"557","Pregnancy Risk Assessment",99
"558","Preparedness & Response -Bioterrorism",432
"559","Preschool Special Education",1351
"560","Preservation Library Research",55
"561","Preventative Health Services Block Grant",254
"562","Primary Care Develop Debt Serv",63
"563","Prior Year FEMA Reimbursement",124
"564","Prior Year Reimbursement",367
"565","Prisoners Reentry Initiative",19
"566","Private Excess Cost Aid",306
"567","Private Grant - Private Transportation",506
"568","Private Grants",118770
"569","Private Ownership Management",1
"570","Procurement Technical Assistance",180
"571","Program Income Adjustments",74
"572","Project Confirm",15
"573","Project Safe Neighborhoods",4
"574","Promoting Safe And Stable Families",123
"575","Promotion Of The Humanities Prsv&Access",28
"576","Protective Services",439
"577","Psychiatric Emergency State Aid (Cpep)",168
"578","Public Assistance Grants",4
"579","Public Health Emergency Preparedness",23
"580","Public Health Priorities",664
"581","Public Health TB Reimbursement",42
"582","Public Health-Local Assistance",465
"583","Public Safety Interoper. Communications",49
"584","Public Safety Partnership And Community",13
"585","Public Safety Partnrship & Comuty Polcy",18
"586","Purchase Of Transit Buses",504
"587","Parks Improvement",19
"588","Partnerships To Improve Community Health",46
"589","Paul S. Sarbanes Transit In The Parks",15
"590","Performance Partnership Pilots For Disconnected Youth",21
"591","Preschool Development Grants",95
"592","Presidential Inauguration",3
"593","Presidential Residence Protection Security Grant",36
"594","Preventing Maternal Deaths: Supporting Maternal Mortality Re",128
"595","Prevention & Management Of Diabetes, Heart Disease, & Stroke",54
"596","Prevention And Treatment Of Substance Abuse",153
"597","Prosecuting Cold Cases Using Dnae Patient Assistance Program",21
"598","Protecting Inmates And Safeguarding Communities Dis Gnt Prog",59
"599","Provider Relief Fund - Cares Act",6
"600","Public Health Emergency Response: Cooperative Agreement For",8
"601","Public Health Preparedness And Response Science, Research, A",188
"602","Public Health And Social Services Emergency Fund",30
"603","Public Safety Officers' Benefits Program",28
"604","Public Transportation Emergency Relief Program",23
"605","Queensborough Bridge",888
"606","Rail And Transit  Security",673
"607","Reading First State Grant",6
"608","Recovery Act Byrne Memorial Competitive",102
"609","Recovery Act Justice Assistance Local",432
"610","Recovery Act Justice Assistance State",48
"611","Recreational Trail Program",31
"612","Reentry Assistance Support PGM",21
"613","Refugee And Entrant Assistance - Discret",369
"614","Regional Catastrophic Preparedness",118
"615","Reim State Ready Inmates",107
"616","Reimbursement Of Retirees",4
"617","Reimbursement-Overhead Costs",19658
"618","Research On Healthcare Costs And Quality",323
"619","Residential Substance Abuse Treatment",23
"620","Robert Wood Johnson Foundation",18
"621","Runaway & Homeless Youth",92
"622","Ryan White HIV Emergcy Relief",828
"623","Ryan White Title I Care Act",150
"624","Ryan White-Mhra Grant",287
"625","Reimbursements - General",86
"626","Research For Heart, Lung, Blood Diseases, & Sleep Disorders",25
"627","Residential Substance Abuse Treatment For State Prisoners",115
"628","Safe Drug-Free Schools And Communties",151
"629","Safe Motherhood & Infant Health",605
"630","Safe Schools / Healthy Students",6
"631","Safety-Net",6867
"632","Sale Of Cary House",3
"633","SCA Based Building Aid",526
"634","School Breakfast And Lunch PGM",1616
"635","School Breakfast Program",1030
"636","School Breakfast Program-Prisons",828
"637","School Brkfst Program-Prisons",74
"638","School Lunch",2593
"639","School Lunch-Prisons",920
"640","School Program Grant",61
"641","School To Career Program",44
"642","Sect 17 Rental Rehabilitation",242
"643","Section 8 Admin Fees - Moderate SRO",8469
"644","Section 8 Admin Fees - Voucher",2237
"645","Secure Detention Services",488
"646","Securing The Cities",574
"647","SEFA Federal Contracts-Health",231
"648","Semo- Disaster Relief",14
"649","Services For Trafficking Victims",138
"650","Settlement Restitution & Fines  Grant",49
"651","Sexual Assault In The MR/DD Community",170
"652","Shelter Plus Care",8009
"653","Shelters",331
"654","Social Services Block Grant Title XX - Child Welfare",992
"655","Social Services Block Grant Title XX - Other",1059
"656","Social Integration Services",149
"657","Soft Body Armor Vests Program",63
"658","Software Aid",45
"659","Special Assistance Program",24
"660","Special Education Grants To States",42
"661","Special Education Services",462
"662","Special Grants Misc",5219
"663","Special Grants-Miscellaneous",11536
"664","Special Housing Loan",1
"665","Special Narcotics Prosecution",111
"666","Special Projects",2040
"667","Special Projects Of National Significance",381
"668","Special Projects Of National Significnce",128
"669","Specific Programs/Bilingual Ed",102
"670","Specific Programs/Welfare Ed",600
"671","SPNS - Minority Hiv/Aid Fund",31
"672","SRO Rehab Loan",858
"673","State Actions",11
"674","State Aid",739
"675","State Aid - Alcoholism",369
"676","State Aid - Bus Subsidy Grant",96
"677","State Aid - C.O.L.A.",120
"678","State Aid - Assessments",4
"679","State Aid - Youth Services",390
"680","State Aid - Mental Health",208
"681","State Aid - Mental Retardation",196
"682","State Aid - Dept Of Probation",269
"683","State Aid - Community Colleges",364
"684","State Aid - Pension Reimbursemnt",175
"685","State Aid - Transport. Of Prison",2073
"686","State Appellate Courts",278
"687","State Breakfast Reimbursement",762
"688","State Capital Reimbursement",26
"689","State Cash Adjustments",8
"690","State Criminal Aliens Assistan",24
"691","State Doss Fringe Benefits",2029
"692","State Emergency Aid",153
"693","State Felony Program(Eddcp)",277
"694","State Homeland Security  Grant Program",245
"695","State Local Initiative",521
"696","State Match Funds",3
"697","State Preventive Services",5732
"698","State-Aid Respite + Recreation",182
"699","Stop Driving While Intoxicated",3069
"700","Substance Abuse Prevention & Treatment",474
"701","Summer Feeding Program",50
"702","Summer Feeding Surveillance",34
"703","SNAP",187
"704","Supported Housing 50m Program",222
"705","Supported Housing Services",185
"706","Supportive Housing Program",245
"707","Surveys,Studies,Investigations,Demos",12
"708","Substance Abuse & Mental Health Svcs",164
"709","Sutton Park",13
"710","Sweat Equity",363
"711","Safe Harbour For Exploited Children",240
"712","Save Americas's Treasures",10
"713","Science To Achieve Results (Star) Research Program",90
"714","Second Chance Act Prisoners Reentry",129
"715","Shepard And Byrd Hate Crimes Program",9
"716","Smart Prosecution Initiative",81
"717","Social Impact Partnerships To Pay For Results Act (Sippra)",4
"718","Sodium Reduction In Communities",57
"719","State Admin Match Grants/ Supplemental Nutrition Assistance",2759
"720","State Operating Assistance Bus",189
"721","State Operating Assistance Ferry",225
"722","State And Community Highway Safety",87
"723","State And Local Public Health Actions To Prevent Obesity, Di",46
"724","Strengthening Public Health",246
"725","Strengthening Public Health Systems And Services",100
"726","Student Support And Academic Enrichment Program",268
"727","Summer Food Service Program For Children",723
"728","SNAP",130
"729","Supplemental Security Income",382
"730","Support For Adam Walsh Act Implementation Grant Program",17
"731","Sustainable Planning Grant Program",33
"732","Ta-Fare Evasion Overtime",174
"733","TANF - Administrative Expenses",1447
"734","TANF - Fringe Benefits",2878
"735","TANF - Employment Administration",2152
"736","TANF - Emergency Assistance",3948
"737","TANF - Emergency Assistance Families / Set Aside for Child Welfare",551
"738","TANF - Emergency Assistance Families",222
"739","TANF - Safety Net",1302
"740","TB Control And Prevention",282
"741","TB Directly Observed Therapy",15
"742","Tea- City Wide Construction Project",20717
"743","Teacher Center Program",443
"744","Teachers Of Tomorrow",106
"745","TANF",1243
"746","TANF - 100% Federal",2313
"747","TANF",13172
"748","Tenant Interim Lease",432
"749","Tenant Work",185
"750","The Brookdale Foundation",1
"751","Therapeutic Nursery",116
"752","Title 3D Health Promotion",149
"753","Title E - Caregiver Support",107
"754","Title I - Local Education Agencies",646
"755","Title I Grants To Local Educational Agcs",7401
"756","Title III, Part B: Supportive Services A",195
"757","Title III, Part C: Nutrition Services",401
"758","Title Iii-Lep &  Immigration Student",4016
"759","Title IV-E  -  Protective Services",703
"760","Title IV-E -  Foster Care Administration",3838
"761","Title V NCOA Employment Prog.",601
"762","Title V Sen Com Ser Emp Progm.",235
"763","Title VII Elder Abuse Prvntion",39
"764","Social Services Block Grant Title XX",1022
"765","Title-E Caregiver Support",73
"766","Trade Adjustment Assistance Program",411
"767","Traffic Injury Prevention",221
"768","Traffic Street Safety",7
"769","Training",5846
"770","Training Grants To Stop Elder Abuse",63
"771","Transitional Finance Authority",73
"772","Transitional Independent Livin",124
"773","Transportation Aid",984
"774","Transportation Improvement",647
"775","Tree Restitution",18
"776","Trio: Student Support Services",2129
"777","Tuberculosis Control Program",743
"778","Turn 2 Foundation",89
"779","Teacher Incentive Fund",197
"780","Technical Assistance Grants",4
"781","Teenage Pregnancy Prevention Program",437
"782","The Patient Protection And Affordable Care Act Of 2010",38
"783","Title V Delinquency Prevention",16
"784","Transformation Initiative Research Grants",11
"785","UMTA Mass Transit Studies",605
"786","United Nations + Consulate",286
"787","United Way Program",16
"788","Universal Prekindergarten",69
"789","Universal Service Funds",562
"790","Urban Areas Security Initiative",3893
"791","Urban Park Serv-Urban Fores Ed",53
"792","Urban Search Rescue And Response System",705
"793","Urban Wetland Evaluation Program",141
"794","United States Capitol Police",3
"795","Universal Pre-Kindergarten",291
"796","Urban Agriculture And Innovative Production",1
"797","Urban Waters Small Grants",26
"798","VA Grants For Adaptive Sports Programs For Disabled Veterans",3
"799","Vacant Lot Clean-Up",94
"800","Vacant Lot Clean-Up Bulk Recycling",12
"801","Venereal Disease Control",1588
"802","Violence Against Women",97
"803","Violence Against Women Formula Grants",824
"804","Viral Hepatitis Prevention",606
"805","Vocational Education",622
"806","Volunteers In Service To America",7
"807","Veteran Affairs Homeless Providers And Per Diem Program",542
"808","Victim Services",3
"809","Violence Prevention",67
"810","Workforce Investment Act (WIA) - Dislocated Workers",2681
"811","Workforce Investment Act (WIA) - In School Youth",1548
"812","Workforce Investment Act (WIA) - National Emergency",118
"813","Workforce Investment Act (WIA) - Out Of School Youth",1398
"814","Water Authority Grant",40
"815","Water Security Training & Tech Assistnce",38
"816","Waterfront Study",47
"817","Waterfront-Tourism-Environ. -Educ",20
"818","Weed And Seed Project",6
"819","Whitehall Ferry Terminal",6
"820","Workforce Investment Act (WIA) - National Emergency",136
"821","Williamsburgh Bridge",406
"822","Williamsburgh Bridge Project",75
"823","Wireless E 911 Surcharges",25
"824","Work Incentives Grant",9
"825","Work Now",1305
"826","Workforce Investment Act (WIA) - Adult",2641
"827","Workforce Investment Act (WIA) - Central Administration",3088
"828","Water Pollution Control",9
"829","Youth Initiatives",19
"830","Youth Tobacco Enforcement",831
"831","Youth Homelessness Demonstration Program",6
